2018-01-01	18	0
2018-01-02	18	0
2018-01-03	18	0
2018-01-04	16	1
2018-01-05	23	0
2018-01-06	10	0
2018-01-07	16	0
2018-01-08	13	0
2018-01-09	13	0
2018-01-10	12	0
2018-01-11	20	0
2018-01-12	9	0
2018-01-13	18	0
2018-01-14	13	0
2018-01-15	18	0
2018-01-16	28	0
2018-01-17	23	0
2018-01-18	17	0
2018-01-19	15	0
2018-01-20	15	0
2018-01-21	10	0
2018-01-22	22	0
2018-01-23	20	0
2018-01-24	16	0
2018-01-25	17	0
2018-01-26	21	0
2018-01-27	18	0
2018-01-28	9	0
2018-01-29	19	0
2018-01-30	16	0
2018-01-31	19	0
2018-02-01	34	0
2018-02-02	18	0
2018-02-03	9	0
2018-02-04	13	0
2018-02-05	27	0
2018-02-06	38	0
2018-02-07	18	0
2018-02-08	19	0
2018-02-09	19	0
2018-02-10	20	0
2018-02-11	10	0
2018-02-12	12	0
2018-02-13	16	0
2018-02-14	28	0
2018-02-15	6	0
2018-02-16	13	0
2018-02-17	10	0
2018-02-18	9	0
2018-02-19	11	0
2018-02-20	15	0
2018-02-21	27	0
2018-02-22	16	0
2018-02-23	14	0
2018-02-24	11	0
2018-02-25	10	0
2018-02-26	17	0
2018-02-27	19	0
2018-02-28	20	0
2018-03-01	20	0
2018-03-02	19	0
2018-03-03	20	0
2018-03-04	12	0
2018-03-05	15	0
2018-03-06	17	0
2018-03-07	42	0
2018-03-08	22	0
2018-03-09	15	0
2018-03-10	15	0
2018-03-11	5	0
2018-03-12	19	0
2018-03-13	25	0
2018-03-14	32	0
2018-03-15	18	0
2018-03-16	31	0
2018-03-17	10	0
2018-03-18	9	0
2018-03-19	25	0
2018-03-20	26	0
2018-03-21	40	0
2018-03-22	21	0
2018-03-23	21	0
2018-03-24	15	0
2018-03-25	19	0
2018-03-26	28	0
2018-03-27	22	0
2018-03-28	37	0
2018-03-29	13	0
2018-03-30	23	0
2018-03-31	17	0
2018-04-01	16	0
2018-04-02	53	0
2018-04-03	26	0
2018-04-04	32	0
2018-04-05	14	0
2018-04-06	35	0
2018-04-07	16	0
2018-04-08	18	0
2018-04-09	30	0
2018-04-10	16	0
2018-04-11	41	1
2018-04-12	23	1
2018-04-13	14	0
2018-04-14	23	0
2018-04-15	26	0
2018-04-16	15	0
2018-04-17	22	0
2018-04-18	55	0
2018-04-19	29	0
2018-04-20	22	0
2018-04-21	13	0
2018-04-22	20	0
2018-04-23	47	0
2018-04-24	73	0
2018-04-25	51	0
2018-04-26	26	0
2018-04-27	20	0
2018-04-28	22	0
2018-04-29	37	0
2018-04-30	26	0
2018-05-01	12	0
2018-05-02	49	0
2018-05-03	34	0
2018-05-04	33	0
2018-05-05	18	0
2018-05-06	29	0
2018-05-07	31	0
2018-05-08	36	0
2018-05-09	49	0
2018-05-10	20	0
2018-05-11	23	0
2018-05-12	24	0
2018-05-13	20	0
2018-05-14	33	0
2018-05-15	35	0
2018-05-16	59	0
2018-05-17	35	0
2018-05-18	34	0
2018-05-19	23	0
2018-05-20	36	0
2018-05-21	69	0
2018-05-22	31	0
2018-05-23	48	0
2018-05-24	29	0
2018-05-25	43	0
2018-05-26	11	0
2018-05-27	25	0
2018-05-28	31	0
2018-05-29	24	0
2018-05-30	36	0
2018-05-31	43	0
2018-06-01	26	0
2018-06-02	25	0
2018-06-03	26	0
2018-06-04	47	0
2018-06-05	29	0
2018-06-06	61	0
2018-06-07	42	0
2018-06-08	34	0
2018-06-09	37	0
2018-06-10	20	0
2018-06-11	55	0
2018-06-12	39	0
2018-06-13	56	0
2018-06-14	44	0
2018-06-15	53	1
2018-06-16	26	0
2018-06-17	16	0
2018-06-18	32	0
2018-06-19	49	0
2018-06-20	78	0
2018-06-21	46	0
2018-06-22	33	0
2018-06-23	26	0
2018-06-24	21	0
2018-06-25	57	0
2018-06-26	31	0
2018-06-27	37	0
2018-06-28	39	0
2018-06-29	25	0
2018-06-30	24	1
2018-07-01	19	0
2018-07-02	31	0
2018-07-03	46	0
